class_nb, nb_pca, last_second,smoothing_freq_max, down_freq_max,conv_channel, conv_windows,step_smoothing, step_down,window_ori, channels_ori, pool_ori,window_sm, channels_sm, pool_sm,window_dn, channels_dn, pool_dn,nb_dense,square_mean_valence,pearson_val,square_mean_arousal,pearson_arousal,kappa
7,5,3,10,10,10,1,1,1,5,5,1000,5,5,1000,5,5,1000,10,3.0644020762167514,0.42808315528664304,3.1827941967098283,0.2284848475127053,
7,5,3,10,10,10,1,1,1,5,5,1000,5,5,1000,5,5,1000,50,3.2471685063117453,0.32168157205212183,3.041886206723506,0.12570848007585986,
7,5,3,10,10,10,1,1,1,5,5,1000,5,5,1000,5,5,1000,100,3.361733972784505,0.25079919965372505,3.1101215056414846,0.09751123965102856,
7,5,3,10,10,10,1,1,1,5,7,1000,5,7,1000,5,7,1000,10,3.260603247158063,0.3461995553241515,2.973905997514384,0.1476727031500435,
7,5,3,10,10,10,1,1,1,5,7,1000,5,7,1000,5,7,1000,50,3.2679377354980685,0.28795037887730895,3.016932729008563,0.16334763710904038,
7,5,3,10,10,10,1,1,1,5,7,1000,5,7,1000,5,7,1000,100,3.6311755128079386,0.18303448428560296,2.9756552832246914,0.13921457785760202,
7,5,3,10,10,10,1,1,1,5,15,1000,5,15,1000,5,15,1000,10,3.2783749885946136,0.27105238874952825,3.0154180683532594,0.14481823790307655,
7,5,3,10,10,10,1,1,1,5,15,1000,5,15,1000,5,15,1000,50,3.250919840333089,0.285334967500615,3.0543208223041387,0.19808246742607585,
7,5,3,10,10,10,1,1,1,5,15,1000,5,15,1000,5,15,1000,100,3.2713177942614418,0.31490359638404164,3.1453628134666984,0.1620129921973758,
7,5,3,10,10,10,1,1,1,5,25,1000,5,25,1000,5,25,1000,10,3.3715810556874235,0.26456228727773684,3.0137414100948208,0.1325206109676497,
7,5,3,10,10,10,1,1,1,5,25,1000,5,25,1000,5,25,1000,50,3.709297081594121,0.1199342400318292,2.9813671311631835,0.14962129575329478,
7,5,3,10,10,10,1,1,1,5,25,1000,5,25,1000,5,25,1000,100,3.487463418752746,0.1404975158716869,3.0917011233183485,0.10014158488175083,
7,5,3,10,10,50,1,1,1,5,5,1000,5,5,1000,5,5,1000,10,3.5417515414516902,0.0,3.1754611083785096,0.0,
7,5,3,10,10,50,1,1,1,5,5,1000,5,5,1000,5,5,1000,50,3.2606604596984528,0.31048535613057743,3.013314597246355,0.14436248568227136,
7,5,3,10,10,50,1,1,1,5,5,1000,5,5,1000,5,5,1000,100,2.9408824899647463,0.4763514689779249,3.1354603818090685,0.1258523440075724,
7,5,3,10,10,50,1,1,1,5,7,1000,5,7,1000,5,7,1000,10,3.5417470433103313,0.0,3.1754288053822286,0.0,
7,5,3,10,10,50,1,1,1,5,7,1000,5,7,1000,5,7,1000,50,3.1404223241919142,0.3649148472906799,2.8702430258603715,0.23656496712604114,
7,5,3,10,10,50,1,1,1,5,7,1000,5,7,1000,5,7,1000,100,3.647297485941621,0.2421806326886769,2.9097136924663327,0.16707483492533154,
7,5,3,10,10,50,1,1,1,5,15,1000,5,15,1000,5,15,1000,10,3.5417414807280614,0.0,3.1753817703279723,0.0,
7,5,3,10,10,50,1,1,1,5,15,1000,5,15,1000,5,15,1000,50,3.2623507652954813,0.28753068003468296,2.8706116110783655,0.18968577304481896,
7,5,3,10,10,50,1,1,1,5,15,1000,5,15,1000,5,15,1000,100,3.5661049345668787,0.21241721422845386,3.42724706865187,-0.09997963097659923,
7,5,3,10,10,50,1,1,1,5,25,1000,5,25,1000,5,25,1000,10,3.541738640647964,0.0,3.1753319052582314,0.0,
7,5,3,10,10,50,1,1,1,5,25,1000,5,25,1000,5,25,1000,50,3.264013669916162,0.2981784090430731,3.094838635656157,0.12296199243835555,
7,5,3,10,10,50,1,1,1,5,25,1000,5,25,1000,5,25,1000,100,3.631004339295059,0.11115045984756353,3.1196776944950684,0.09551319687462638,
7,5,3,10,10,10,3,1,1,5,5,600,5,5,600,5,5,600,10,3.092956745988975,0.4214353977600169,3.0795827305538883,0.1805402189751044,
7,5,3,10,10,10,3,1,1,5,5,600,5,5,600,5,5,600,50,3.3526354620761056,0.2388010538461534,3.0838177047500515,0.06263078413520462,
7,5,3,10,10,10,3,1,1,5,5,600,5,5,600,5,5,600,100,3.4543601706619143,0.1928065204264679,3.0860513269837573,0.11110859922086556,
7,5,3,10,10,10,3,1,1,5,7,600,5,7,600,5,7,600,10,3.0686929318475324,0.4421090898644746,3.0214929793702163,0.23789911681046905,
7,5,3,10,10,10,3,1,1,5,7,600,5,7,600,5,7,600,50,3.3746286874640687,0.2365113903915441,3.0763168256041116,0.08455980314146218,
7,5,3,10,10,10,3,1,1,5,7,600,5,7,600,5,7,600,100,3.3830332101136382,0.21885932615096895,2.9894886606943825,0.1658108434845935,
7,5,3,10,10,10,3,1,1,5,15,600,5,15,600,5,15,600,10,3.1320959328974887,0.3897591025996802,3.0057274377179284,0.17574217227508224,
7,5,3,10,10,10,3,1,1,5,15,600,5,15,600,5,15,600,50,3.426635003886149,0.2345214384683169,3.0390154046287563,0.1121129730641204,
7,5,3,10,10,10,3,1,1,5,15,600,5,15,600,5,15,600,100,3.5993206099052726,0.11832922619097852,2.88250899394406,0.2181676012526504,
7,5,3,10,10,10,3,1,1,5,25,600,5,25,600,5,25,600,10,3.2766251955624663,0.2748061153048792,3.3071476853284647,0.18259566291933585,
7,5,3,10,10,10,3,1,1,5,25,600,5,25,600,5,25,600,50,3.3018595931002683,0.27890790390138104,3.1081047956866814,0.08928523243560764,
7,5,3,10,10,10,3,1,1,5,25,600,5,25,600,5,25,600,100,3.5114991705046776,0.15384780642979787,3.112129585219222,0.08786194283635176,
7,5,3,10,10,50,3,1,1,5,5,600,5,5,600,5,5,600,10,3.5417655135498247,0.0,3.1755364877822316,0.0,
7,5,3,10,10,50,3,1,1,5,5,600,5,5,600,5,5,600,50,2.9784874142985838,0.4017809578332469,2.7245254734090465,0.292043359767298,
7,5,3,10,10,50,3,1,1,5,5,600,5,5,600,5,5,600,100,3.408279058446732,0.21692814541877534,3.1617814710216914,0.052441977585679936,
7,5,3,10,10,50,3,1,1,5,7,600,5,7,600,5,7,600,10,3.338294804566694,0.23396315527633102,3.1060433941071377,0.0988584770931761,
7,5,3,10,10,50,3,1,1,5,7,600,5,7,600,5,7,600,50,3.3227965932257693,0.25445938862481665,2.6724230257592967,0.3804859322014564,
7,5,3,10,10,50,3,1,1,5,7,600,5,7,600,5,7,600,100,3.4520625495615245,0.21315684004505595,3.329133072037273,-0.029466572306691988,
7,5,3,10,10,50,3,1,1,5,15,600,5,15,600,5,15,600,10,3.541755566661095,0.0,3.1754628085771364,0.0,
7,5,3,10,10,50,3,1,1,5,15,600,5,15,600,5,15,600,50,3.278819584139976,0.2713496164308056,2.732572735123904,0.33722527059559393,
7,5,3,10,10,50,3,1,1,5,15,600,5,15,600,5,15,600,100,3.4587056892128665,0.20606610281815996,3.006340446947161,0.15062195289128014,
7,5,3,10,10,50,3,1,1,5,25,600,5,25,600,5,25,600,10,3.5417501799131155,-0.06459796920992994,3.175418872345316,0.033008851169156264,
7,5,3,10,10,50,3,1,1,5,25,600,5,25,600,5,25,600,50,3.2771289961560046,0.32457754238653586,2.6768211207429315,0.3620227838339431,
7,5,3,10,10,50,3,1,1,5,25,600,5,25,600,5,25,600,100,3.4917772039900323,0.17471261690741058,3.19676913864752,0.06472430885891957,
7,5,3,10,10,10,8,1,1,5,5,300,5,5,300,5,5,300,10,3.4526090203472988,0.18497035437498668,3.127825325006337,0.14689839915487696,
7,5,3,10,10,10,8,1,1,5,5,300,5,5,300,5,5,300,50,3.275752828599309,0.27416141521804355,3.1662099328714053,0.08008627837829163,
7,5,3,10,10,10,8,1,1,5,5,300,5,5,300,5,5,300,100,3.3284025714820134,0.23933201294600215,3.146690780216244,0.13000695741213492,
7,5,3,10,10,10,8,1,1,5,7,300,5,7,300,5,7,300,10,3.453922194607716,0.1817607774438534,3.116670961368164,0.13631327358599296,
7,5,3,10,10,10,8,1,1,5,7,300,5,7,300,5,7,300,50,3.2419966091925585,0.2900759631761297,3.0411495863242166,0.10701462748383804,
7,5,3,10,10,10,8,1,1,5,7,300,5,7,300,5,7,300,100,3.270246407236512,0.26975126072914185,3.0901590411480813,0.11717074400803044,
7,5,3,10,10,10,8,1,1,5,15,300,5,15,300,5,15,300,10,3.4629161272042666,0.17794709123051788,3.096460590504732,0.15996231499990096,
7,5,3,10,10,10,8,1,1,5,15,300,5,15,300,5,15,300,50,3.3240428372063833,0.25902247876800644,3.0721648057664703,0.16189440887945947,
7,5,3,10,10,10,8,1,1,5,15,300,5,15,300,5,15,300,100,3.220325628804527,0.2980142043684024,3.0568558158793424,0.18213043028201772,
7,5,3,10,10,10,8,1,1,5,25,300,5,25,300,5,25,300,10,3.486252461997543,0.16767086109475884,3.110607210626392,0.12591864607242287,
7,5,3,10,10,10,8,1,1,5,25,300,5,25,300,5,25,300,50,3.30745083466164,0.2538470084835258,3.0133854442718837,0.1877210834369613,
7,5,3,10,10,10,8,1,1,5,25,300,5,25,300,5,25,300,100,3.2644709303470667,0.2741149792071404,3.0416404174734453,0.1917002315234201,
7,5,3,10,10,50,8,1,1,5,5,300,5,5,300,5,5,300,10,3.52959808292656,0.12666753298468633,3.1862741028240293,-0.1617615280217434,
7,5,3,10,10,50,8,1,1,5,5,300,5,5,300,5,5,300,50,3.4632333467102296,0.18045040905901666,3.0121608278096503,0.12930116747783438,
7,5,3,10,10,50,8,1,1,5,5,300,5,5,300,5,5,300,100,3.2201436636480243,0.2972320438788211,2.9811836445789583,0.2215117886931084,
7,5,3,10,10,50,8,1,1,5,7,300,5,7,300,5,7,300,10,3.38755682946686,0.1996755122673984,3.117244051157768,0.07752901076619473,
7,5,3,10,10,50,8,1,1,5,7,300,5,7,300,5,7,300,50,3.2676392680479696,0.2826402567252653,2.919919497810987,0.23902136323192066,
7,5,3,10,10,50,8,1,1,5,7,300,5,7,300,5,7,300,100,3.192604881356011,0.3076809595627864,2.797134580635804,0.2850462685115563,
7,5,3,10,10,50,8,1,1,5,15,300,5,15,300,5,15,300,10,3.541762197563726,0.0,3.1755075819472207,0.0,
7,5,3,10,10,50,8,1,1,5,15,300,5,15,300,5,15,300,50,3.250802942647915,0.2860926322870558,2.7218481603837694,0.2623655978260068,
7,5,3,10,10,50,8,1,1,5,15,300,5,15,300,5,15,300,100,3.317178830114293,0.2562032682452096,2.977219228831137,0.16400739914949747,
7,5,3,10,10,50,8,1,1,5,25,300,5,25,300,5,25,300,10,3.467215861745224,0.1868531794761512,2.9949061856048926,0.1373909418162801,
7,5,3,10,10,50,8,1,1,5,25,300,5,25,300,5,25,300,50,3.2164628630341863,0.30918048881061616,2.7071537970824484,0.26104091397911305,
7,5,3,10,10,50,8,1,1,5,25,300,5,25,300,5,25,300,100,3.272538627289403,0.2728424545597707,3.0121947307795636,0.1655611392163166,
7,5,3,10,10,10,1,1,1,10,5,1000,10,5,1000,10,5,1000,10,3.245351233864436,0.3041967906671109,2.9769811180554133,0.13646129174777805,
7,5,3,10,10,10,1,1,1,10,5,1000,10,5,1000,10,5,1000,50,3.2506505960736782,0.3181399136623299,3.0702546616733164,0.12679762819773607,
7,5,3,10,10,10,1,1,1,10,5,1000,10,5,1000,10,5,1000,100,3.377174670832129,0.2636721498048669,3.0918426064847067,0.09000009807797671,
7,5,3,10,10,10,1,1,1,10,7,1000,10,7,1000,10,7,1000,10,3.261247881300376,0.2931736051928754,2.982744738619348,0.18592157500795328,
7,5,3,10,10,10,1,1,1,10,7,1000,10,7,1000,10,7,1000,50,3.228097954209733,0.3304544883704409,3.1118603119791057,0.10787469201979924,
7,5,3,10,10,10,1,1,1,10,7,1000,10,7,1000,10,7,1000,100,3.391499047138335,0.25788602437711955,3.169628816337916,0.05120570151206585,
7,5,3,10,10,10,1,1,1,10,15,1000,10,15,1000,10,15,1000,10,3.2356689285204023,0.3333584783024074,2.9511837644900747,0.2072666989302258,
7,5,3,10,10,10,1,1,1,10,15,1000,10,15,1000,10,15,1000,50,3.3219985762843964,0.2669133701859655,3.0163447059201305,0.15158064596119256,
7,5,3,10,10,10,1,1,1,10,15,1000,10,15,1000,10,15,1000,100,3.3259889009963386,0.3213356794489279,3.182651509381206,0.030226031038876562,
7,5,3,10,10,10,1,1,1,10,25,1000,10,25,1000,10,25,1000,10,3.5438172793545686,0.2417129176645649,3.1937732986750174,0.2411968726473699,
7,5,3,10,10,10,1,1,1,10,25,1000,10,25,1000,10,25,1000,50,3.245325908825774,0.3043394515154744,3.086808478135915,0.13195279348493566,
7,5,3,10,10,10,1,1,1,10,25,1000,10,25,1000,10,25,1000,100,3.5446614289885012,0.1219570434495476,3.120368387538344,0.0693079206545513,
7,5,3,10,10,50,1,1,1,10,5,1000,10,5,1000,10,5,1000,10,3.2507662656444483,0.2960099681169365,3.129712196822088,0.14859972425986975,
7,5,3,10,10,50,1,1,1,10,5,1000,10,5,1000,10,5,1000,50,3.3014316244232322,0.34293909434466624,3.002823030646074,0.13905814959103355,
7,5,3,10,10,50,1,1,1,10,5,1000,10,5,1000,10,5,1000,100,3.305261019514978,0.32172143201295683,3.0107079713949756,0.1590080947447743,
7,5,3,10,10,50,1,1,1,10,7,1000,10,7,1000,10,7,1000,10,3.25560336846786,0.2915400984336859,3.070176541255924,0.14076213362227186,
7,5,3,10,10,50,1,1,1,10,7,1000,10,7,1000,10,7,1000,50,3.1948884171826664,0.32241936617133904,3.0419478749454885,0.1815732079174819,
7,5,3,10,10,50,1,1,1,10,7,1000,10,7,1000,10,7,1000,100,3.2767036521824853,0.2899306480213531,3.249133288049593,0.019058122588191846,
7,5,3,10,10,50,1,1,1,10,15,1000,10,15,1000,10,15,1000,10,3.359114698098552,0.2716254510540925,3.0232978311991965,0.13535455211684275,
7,5,3,10,10,50,1,1,1,10,15,1000,10,15,1000,10,15,1000,50,3.2153607182981445,0.3260275668475958,3.025929395984388,0.13626765864199325,
7,5,3,10,10,50,1,1,1,10,15,1000,10,15,1000,10,15,1000,100,3.1466870220901315,0.35117355083032925,3.2189130399787884,0.06856250485155332,
7,5,3,10,10,50,1,1,1,10,25,1000,10,25,1000,10,25,1000,10,3.2826673199148435,0.2912193153365161,3.050181077764889,0.1388044306694399,
7,5,3,10,10,50,1,1,1,10,25,1000,10,25,1000,10,25,1000,50,3.223153072785128,0.30629302478294423,3.3204089185145897,-0.07239371494437477,
7,5,3,10,10,50,1,1,1,10,25,1000,10,25,1000,10,25,1000,100,3.386499009489488,0.2474137090536981,3.1570919169848355,0.026224307614156103,
7,5,3,10,10,10,3,1,1,10,5,600,10,5,600,10,5,600,10,3.1448340020872747,0.3396777937055417,3.0111724592489773,0.22338026600378755,
7,5,3,10,10,10,3,1,1,10,5,600,10,5,600,10,5,600,50,3.4515328345615117,0.20539930053479186,2.99215822480921,0.12093004761896795,
7,5,3,10,10,10,3,1,1,10,5,600,10,5,600,10,5,600,100,3.4548888996193923,0.1718514860669425,2.941053943287088,0.22884120279482756,
7,5,3,10,10,10,3,1,1,10,7,600,10,7,600,10,7,600,10,3.1133896786669837,0.4059108992433422,3.0034050585787484,0.1990138201098082,
7,5,3,10,10,10,3,1,1,10,7,600,10,7,600,10,7,600,50,3.5160029698169484,0.21654899618662515,3.032806319059326,0.06868430298039062,
7,5,3,10,10,10,3,1,1,10,7,600,10,7,600,10,7,600,100,3.67408631105007,0.11302543523128285,2.9685122707358964,0.1333802565884337,
7,5,3,10,10,10,3,1,1,10,15,600,10,15,600,10,15,600,10,3.1400429701068178,0.3531368585578899,3.0845940476485016,0.05592252253596225,
7,5,3,10,10,10,3,1,1,10,15,600,10,15,600,10,15,600,50,3.6362986037740783,0.13989544608366966,2.9685635459346784,0.11456978986341708,
7,5,3,10,10,10,3,1,1,10,15,600,10,15,600,10,15,600,100,3.488485980687456,0.18414236195542025,3.1904758187725384,0.01741781640374963,
7,5,3,10,10,10,3,1,1,10,25,600,10,25,600,10,25,600,10,3.3362917283533102,0.2529355080661028,3.0809165351713004,0.020157404194486372,
7,5,3,10,10,10,3,1,1,10,25,600,10,25,600,10,25,600,50,3.607447875127233,0.17427683597641305,3.0368354210507036,0.11717724007364518,
7,5,3,10,10,10,3,1,1,10,25,600,10,25,600,10,25,600,100,3.53008907746876,0.17092152638590646,3.2504533098059536,0.0015032411826026366,
7,5,3,10,10,50,3,1,1,10,5,600,10,5,600,10,5,600,10,3.6972647812795465,-0.17885651186993198,3.090599095923618,0.1614137746370051,
7,5,3,10,10,50,3,1,1,10,5,600,10,5,600,10,5,600,50,3.285384968168634,0.2711091178245639,2.869372517871669,0.2483841049096088,
7,5,3,10,10,50,3,1,1,10,5,600,10,5,600,10,5,600,100,3.49273903445822,0.18332023100676592,3.1769347529966505,0.049332871470670184,
7,5,3,10,10,50,3,1,1,10,7,600,10,7,600,10,7,600,10,3.5717186509758263,-0.15637505535099094,3.1675620850674284,0.06968659682731551,
7,5,3,10,10,50,3,1,1,10,7,600,10,7,600,10,7,600,50,3.270642281164351,0.2741404274304308,2.8203141160724847,0.275997332804081,
7,5,3,10,10,50,3,1,1,10,7,600,10,7,600,10,7,600,100,3.4838504935992463,0.19758918317396276,3.1531039433524817,0.037421927826336,
7,5,3,10,10,50,3,1,1,10,15,600,10,15,600,10,15,600,10,3.5417619607212187,0.0,3.1754905790673797,0.0,
7,5,3,10,10,50,3,1,1,10,15,600,10,15,600,10,15,600,50,3.3075692736300923,0.28825333472714115,2.835552933182364,0.3310943071692985,
7,5,3,10,10,50,3,1,1,10,15,600,10,15,600,10,15,600,100,3.5688873339081817,0.1333379180736243,2.9657080379754435,0.16618989127653128,
7,5,3,10,10,50,3,1,1,10,25,600,10,25,600,10,25,600,10,3.5417521624622785,-0.06459796920992993,3.17541803804513,0.0,
7,5,3,10,10,50,3,1,1,10,25,600,10,25,600,10,25,600,50,3.1731073949325017,0.3243855216628706,2.8208743879777716,0.2820728825166188,
7,5,3,10,10,50,3,1,1,10,25,600,10,25,600,10,25,600,100,3.713990428812871,0.10154389238025352,2.961668111246062,0.1673595362669535,
7,5,3,10,10,10,8,1,1,10,5,300,10,5,300,10,5,300,10,3.424130360041581,0.18363403634788164,3.131724280076505,0.15920196897939468,
7,5,3,10,10,10,8,1,1,10,5,300,10,5,300,10,5,300,50,3.3647308829048743,0.2540314638534987,2.8136513394331844,0.27060506793440586,
7,5,3,10,10,10,8,1,1,10,5,300,10,5,300,10,5,300,100,3.2058112076866894,0.3137734925917198,2.7960870180437247,0.34615463214146125,
7,5,3,10,10,10,8,1,1,10,7,300,10,7,300,10,7,300,10,3.4403245084225,0.18032863411323266,3.1049500063368343,0.15090489946206034,
7,5,3,10,10,10,8,1,1,10,7,300,10,7,300,10,7,300,50,3.321004848603337,0.25491018840176705,3.0532567529566204,0.12996412188470527,
7,5,3,10,10,10,8,1,1,10,7,300,10,7,300,10,7,300,100,3.3798894997478865,0.22159084158403375,2.9273649648296423,0.21818028433072356,
7,5,3,10,10,10,8,1,1,10,15,300,10,15,300,10,15,300,10,3.4684804890944125,0.17298084804586214,3.0692518648019207,0.1504194538023893,
